link,text_metadata,text
https://ciudadseva.com/texto/alas/,"{'title': 'Alas', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Yo ejercía entonces la medicina en Humahuaca. Un tarde me trajeron un niño descalabrado; se había caído por el precipicio de un cerro. Cuando para revisarlo le quité el poncho vi dos alas. Las examiné: estaban sanas. Apenas el niño pudo hablar le pregunté: -¿Por qué no volaste, m’hijo, al sentirte caer? -¿Volar? -me dijo- ¿Volar, para que la gente se ría de mí? FIN"
https://ciudadseva.com/texto/aquiles-y-la-tortuga/,"{'title': 'Aquiles y la tortuga', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Zenón: Homero contó muy bien cómo Héctor huyó al ver que Aquiles se le acercaba: tres veces dio vuelta a las murallas de Troya, y Aquiles siempre persiguiéndolo. Lo que no contó es que Aquiles, sintiendo que no podía estrechar la distancia, pensó: “¡Si Héctor fuera una tortuga!”. Bien: en mi argumento contra el movimiento yo le he otorgado ese deseo. Solo que a Aquiles no le sirve de nada: cada vez que llega al punto en que estaba la tortuga, esta ya se ha adelantado y así infinitamente. Meliso: Tu argumento es válido solo a condición de que lo despojemos de sus disfraces. A unos meros puntos en el espacio los disfrazaste de Tiempo. Les diste un pasado —la fama de los pies ligeros de Aquiles y de las patas lentas de la tortuga—, un presente —la voluntad que ambos tienen de correr— y un futuro —la meta que los espera al final de la carrera—. Aquiles y la tortuga, psicológicamente, duran. No duran, matemáticamente, los infinitos puntos en que se puede dividir una línea. Tu argumento, para ser lógico, debería desprenderse de las imágenes temporales con que lo disfrazaste. Solo que entonces tu argumento no duraría. Quiero decir, por ser demasiado obvio nadie se acordaría de él. FIN El gato de Cheshire, 1965"
https://ciudadseva.com/texto/arte-y-vida/,"{'title': 'Arte y vida', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Jack Turpin (Inglaterra, 1750-1785) fue el actor más afamado y difamado en el reino de Jorge III. Afamado por su elegancia de galán en las comedias de Sheridan que se ponían en el Teatro Drury Lane y difamado en la sociedad de Londres por las explosiones de su carácter irascible. Una noche, en una taberna, el crítico Stewart se atrevió a burlarse de esa doble personalidad de caballero en la ficción y energúmeno en la realidad. Discutieron. Una palabra dura provocaba otra aún más dura y al final Turpin, fuera de sí y contradiciéndose, le gritó a Stewart: -¡Le voy a probar que soy capaz de comportarme en la vida con el decoro del arte! A Stewart no se lo pudo probar porque, en uno de sus irreprimibles arrebatos, lo mató allí mismo de un pistoletazo, pero lo probó ante el mundo en su primera oportunidad. Un testigo describe la escena así: El actor Turpin, desde lo alto del tablado, echa una mirada al público. Piensa: “Hoy, en esta tragedia a la manera de Richard Cumberland, desempeñaré con toda mi alma el papel de condenado a muerte”. Y, en efecto, resulta ser la mejor representación en su brillante carrera teatral. Avanza con las manos entrelazadas por la espalda, el cuerpo erguido, la cabeza orgullosa, hasta que se abre a sus pies un escotillón y Turpin, en el patio de la prisión de Newgate, queda colgado de la horca. FIN"
https://ciudadseva.com/texto/cuerno-y-marfil/,"{'title': 'Cuerno y marfil', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Penélope le dice a Odiseo: -Hay dos puertas para los sueños: una, construida de cuerno; otra, de marfil. Los que vienen por la de marfil nos engañan; los que vienen por la de cuerno nos anuncian verdades. En Homero (Odisea, XIX) esas puertas eran alegóricas: no existían sino como imágenes de ideas. Ahora sabemos que existieron de verdad. El periódico de hoy trae la noticia de que el arqueólogo Michael Ventris, en las excavaciones de Knossos, acaba de encontrar dos enormes puertas labradas, una sobre un solo cuerno y la otra sobre un solo colmillo. Interrogado por un periodista, Ventris ha dicho que su impresión, más que de asombro, es de horror, al pensar, en vista de ese cuerno, de ese colmillo, en el tamaño que debieron de haber tenido los rinocerontes y elefantes pre-homéricos. FIN"
https://ciudadseva.com/texto/danza-macabra-iii/,"{'title': 'Danza macabra III', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Cuando Pablo tenía diez años bajó al sótano y vio a su padre ahorcado del techo. El choque fue espantoso: quedó melancólico, estremecido, tartamudo. Pasaron diez años y se casó con una niña a la que acababa de conocer en una playa veraniega. La noche de bodas descubrió que su mujer padecía de una subluxación de la columna cervical: las vértebras comprimían unas raíces nerviosas. Pablo, el melancólico, el estremecido, el tartamudo, tuvo que aprender a aliviarla del dolor. Le enlazaba el cuello y la barbilla y, tirando de una cuerda que corría por una polea del techo, la levantaba hasta que quedase en puntillas. Todas las noches creaba abismos bajo los pies de su mujer. Abismos chiquititos. Con ellos se fue llenando el abismo grandote que durante diez años había obsesionado a Pablo, desde que lo vio una vez bajo los pies de su padre. Se acostumbró a manejar la horca. Hasta la idea misma de la horca le divertía. Viendo a su mujer como una guinda se le alegraba el ánimo. Al final perdió la melancolía, el estremecimiento, la tartamudez y la mujer. FIN"
https://ciudadseva.com/texto/el-beso-imbert/,"{'title': 'El beso', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","La reina de un remoto país del norte, despechada porque Alejandro el Magno había rechazado su amor, decidió vengarse. Con uno de sus esclavos tuvo una hija y la alimentó con veneno. La niña creció, hermosa y letal. Sus labios reservaban la muerte al que los besara. La reina se la envió a Alejandro, como esposa; y Alejandro, al verla, enloqueció de deseos y quiso besarla inmediatamente. Pero Aristóteles, su maestro de filosofía, sospechó que la muchacha era un deletéreo alimento y, para estar seguro, hizo que un malhechor, condenado a muerte, la besara. Apenas la besó, el malhechor murió retorciéndose de dolor. Alejandro no quiso poner sus labios en la muchacha, no porque estuviera llena de veneno, sino porque otro hombre había bebido en esa copa."
https://ciudadseva.com/texto/el-diluvio/,"{'title': 'El diluvio', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Zeus, para mejorar la raza humana, ordenó a Eolo y Posidón que anegaran la tierra. Diluvió. Mares y ríos se juntaron. Inmensas ciudades inmersas. Los hombres se defendieron construyendo balsas y embarcaciones. Vislumbraban, en el fondo del agua, el techo de sus casas y confiaban en que alguna vez podrían retornar. Entre tanto, remaban sobre sus huertos y se zambullían para coger manzanas; pescaban peces que andaban como pájaros por entre las ramas más altas de los nogales. Entonces, antes de que Zeus volviera a poner las cosas como estaban, las sirenas acudieron presurosas de todas partes y aprovecharon esa ocasión única para recorrer, con ojos asombrados, las calles sumergidas por donde habían caminado los fabulosos hombres. FIN"
https://ciudadseva.com/texto/el-fantasma/,"{'title': 'El fantasma', 'metadata': '[Cuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Se dio cuenta de que acababa de morirse cuando vio que su propio cuerpo, como si no fuera el suyo sino el de un doble, se desplomaba sobre la silla y la arrastraba en la caída. Cadáver y silla quedaron tendidos sobre la alfombra, en medio de la habitación. ¿Con que eso era la muerte? ¡Qué desengaño! Había querido averiguar cómo era el tránsito al otro mundo ¡y resultaba que no había ningún otro mundo! La misma opacidad de los muros, la misma distancia entre mueble y mueble, el mismo repicar de la lluvia sobre el techo… Y sobre todo ¡qué inmutables, qué indiferentes a su muerte los objetos que él siempre había creído amigos!: la lámpara encendida, el sombrero en la percha… Todo, todo estaba igual. Sólo la silla volteada y su propio cadáver, cara al cielo raso. Se inclinó y se miró en su cadáver como antes solía mirarse en el espejo. ¡Qué avejentado! ¡Y esas envolturas de carne gastada! “Si yo pudiera alzarle los párpados quizá la luz azul de mis ojos ennobleciera otra vez el cuerpo”, pensó. Porque así, sin la mirada, esos mofletes y arrugas, las curvas velludas de la nariz y los dos dientes amarillos, mordiéndose el labio exangüe estaban revelándole su aborrecida condición de mamífero. -Ahora que sé que del otro lado no hay ángeles ni abismos me vuelvo a mi humilde morada. Y con buen humor se aproximó a su cadáver -jaula vacía- y fue a entrar para animarlo otra vez. ¡Tan fácil que hubiera sido! Pero no pudo. No pudo porque en ese mismo instante se abrió la puerta y se entrometió su mujer, alarmada por el ruido de silla y cuerpo caídos. -¡No entres! -gritó él, pero sin voz. Era tarde. La mujer se arrojó sobre su marido y al sentirlo exánime lloró y lloró. -¡Cállate! ¡Lo has echado todo a perder! -gritaba él, pero sin voz. ¡Qué mala suerte! ¿Por qué no se le habría ocurrido encerrarse con llave durante la experiencia. Ahora, con testigo, ya no podía resucitar; estaba muerto, definitivamente muerto. ¡Qué mala suerte! Acechó a su mujer, casi desvanecida sobre su cadáver; y su propio cadáver, con la nariz como una proa entre las ondas de pelo de su mujer. Sus tres niñas irrumpieron a la carrera como si se disputaran un dulce, frenaron de golpe, poco a poco se acercaron y al rato todas lloraban, unas sobre otras. También él lloraba viéndose allí en el suelo, porque comprendió que estar muerto es como estar vivo, pero solo, muy solo. Salió de la habitación, triste. ¿Adónde iría? Ya no tuvo esperanzas de una vida sobrenatural. No, no había ningún misterio. Y empezó a descender, escalón por escalón, con gran pesadumbre. Se paró en el rellano. Acababa de advertir que, muerto y todo, había seguido creyendo que se movía como si tuviera piernas y brazos. ¡Eligió como perspectiva la altura donde antes llevaba sus ojos físicos! Puro hábito. Quiso probar entonces las nuevas ventajas y se echó a volar por las curvas del aire. Lo único que no pudo hacer fue traspasar los cuerpos sólidos, tan opacos, las insobornables como siempre. Chocaba contra ellos. No es que le doliera; simplemente no podía atravesarlos. Puertas, ventanas, pasadizos, todos los canales que abre el hombre a su actividad, seguían imponiendo direcciones a sus revoloteos. Pudo colarse por el ojo de una cerradura, pero a duras penas. Él, muerto, no era una especie de virus filtrable para el que siempre hay pasos; sólo podía penetrar por las hendijas que los hombres descubren a simple vista. ¿Tendría ahora el tamaño de una pupila de ojo? Sin embargo, se sentía como cuando vivo, invisible, sí, pero no incorpóreo. No quiso volar más, y bajó a retomar sobre el suelo su estatura de hombre. Conservaba la memoria de su cuerpo ausente, de las posturas que antes había adoptado en cada caso, de las distancias precisas donde estarían su piel, su pelo, sus miembros. Evocaba así a su alrededor su propia figura; y se insertó donde antes había tenido las pupilas. Esa noche veló al lado de su cadáver, junto a su mujer. Se acercó también a sus amigos y oyó sus conversaciones. Lo vio todo. Hasta el último instante, cuando los terrones del camposanto sonaron lúgubres sobre el cajón y lo cubrieron. Él había sido toda su vida un hombre doméstico. De su oficina a su casa, de casa a su oficina. Y nada, fuera de su mujer y sus hijas. No tuvo, pues, tentaciones de viajar al estómago de la ballena o de recorrer el gran hormiguero. Prefirió hacer como que se sentaba en el viejo sillón y gozar de la paz de los suyos. Pronto se resignó a no poder comunicarles ningún signo de su presencia. Le bastaba con que su mujer alzara los ojos y mirase su retrato en lo alto de la pared. A veces se lamentó de no encontrarse en sus paseos con otro muerto siquiera para cambiar impresiones. Pero no se aburría. Acompañaba a su mujer a todas partes e iba al cine con las niñas. En el invierno su mujer cayó enferma, y él deseó que se muriera. Tenía la esperanza de que, al morir, el alma de ella vendría a hacerle compañía. Y se murió su mujer, pero su alma fue tan invisible para él como para las huérfanas. Quedó otra vez solo, más solo aún, puesto que ya no pudo ver a su mujer. Se consoló con el presentimiento de que el alma de ella estaba a su lado, contemplando también a las hijas comunes. ¿Se daría cuenta su mujer de que él estaba allí? Sí… ¡claro!… qué duda había. ¡Era tan natural! Hasta que un día tuvo, por primera vez desde que estaba muerto, esa sensación de más allá, de misterio, que tantas veces lo había sobrecogido cuando vivo; ¿y si toda la casa estuviera poblada de sombras de lejanos parientes, de amigos olvidados, de fisgones, que divertían su eternidad espiando las huérfanas? Se estremeció de disgusto, como si hubiera metido la mano en una cueva de gusanos. ¡Almas, almas, centenares de almas extrañas deslizándose unas encimas de otras, ciegas entre sí pero con sus maliciosos ojos abiertos al aire que respiraban sus hijas! Nunca pudo recobrarse de esa sospecha, aunque con el tiempo consiguió despreocuparse: ¡qué iba a hacer! Su cuñada había recogido a las huérfanas. Allí se sintió otra vez en su hogar. Y pasaron los años. Y vio morir, solteras, una tras otra, a sus tres hijas. Se apagó así, para siempre, ese fuego de la carne que en otras familias más abundantes va extendiéndose como un incendio en el campo. Pero él sabía que en lo invisible de la muerte su familia seguía triunfando, que todos, por el gusto de adivinarse juntos, habitaban la misma casa, prendidos a su cuñada como náufragos al último leño. También murió su cuñada. Se acercó al ataúd donde la velaban, miró su rostro, que todavía se ofrecía como un espejo al misterio, y sollozó, solo, solo ¡qué solo! Ya no había nadie en el mundo de los vivos que los atrajera a todos con la fuerza del cariño. Ya no había posibilidades de citarse en un punto del universo. Ya no había esperanzas. Allí, entre los cirios en llama, debían de estar las almas de su mujer y de sus hijas. Les dijo “¡Adiós!” sabiendo que no podían oírlo, salió al patio y voló noche arriba. FIN"
https://ciudadseva.com/texto/el-ganador/,"{'title': 'El ganador', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Bandidos asaltan la ciudad de Mexcatle y ya dueños del botín de guerra emprenden la retirada. El plan es refugiarse al otro lado de la frontera, pero mientras tanto pasan la noche en una casa en ruinas, abandonada en el camino. A la luz de las velas juegan a los naipes. Cada uno apuesta las prendas que ha saqueado. Partida tras partida, el azar favorece al Bizco, quien va apilando las ganancias debajo de la mesa: monedas, relojes, alhajas, candelabros… Temprano por la mañana el Bizco mete lo ganado en una bolsa, la carga sobre los hombros y agobiado bajo ese peso sigue a sus compañeros, que marchan cantando hacia la frontera. La atraviesan, llegan sanos y salvos a la encrucijada donde han resuelto separarse y allí matan al Bizco. Lo habían dejado ganar para que les transportase el pesado botín. FIN"
https://ciudadseva.com/texto/el-leve-pedro/,"{'title': 'El leve Pedro', 'metadata': '[Cuento - Texto completo.]', 'author': 'Enrique Anderson Imbert'}","Durante dos meses se asomó a la muerte. El médico refunfuñaba que la enfermedad de Pedro era nueva, que no había modo de tratarse y que él no sabía qué hacer… Por suerte el enfermo, solito, se fue curando. No había perdido su buen humor, su oronda calma provinciana. Demasiado flaco y eso era todo. Pero al levantarse después de varias semanas de convalecencia se sintió sin peso. -Oye -dijo a su mujer- me siento bien pero ¡no sé!, el cuerpo me parece… ausente. Estoy como si mis envolturas fueran a desprenderse dejándome el alma desnuda -Languideces -le respondió su mujer. -Tal vez. Siguió recobrándose. Ya paseaba por el caserón, atendía el hambre de las gallinas y de los cerdos, dio una mano de pintura verde a la pajarera bulliciosa y aun se animó a hachar la leña y llevarla en carretilla hasta el galpón. Según pasaban los días las carnes de Pedro perdían densidad. Algo muy raro le iba minando, socavando, vaciando el cuerpo. Se sentía con una ingravidez portentosa. Era la ingravidez de la chispa, de la burbuja y del globo. Le costaba muy poco saltar limpiamente la verja, trepar las escaleras de cinco en cinco, coger de un brinco la manzana alta. -Te has mejorado tanto -observaba su mujer- que pareces un chiquillo acróbata. Una mañana Pedro se asustó. Hasta entonces su agilidad le había preocupado, pero todo ocurría como Dios manda. Era extraordinario que, sin proponérselo, convirtiera la marcha de los humanos en una triunfal carrera en volandas sobre la quinta. Era extraordinario pero no milagroso. Lo milagroso apareció esa mañana. Muy temprano fue al potrero. Caminaba con pasos contenidos porque ya sabía que en cuanto taconeara iría dando botes por el corral. Arremangó la camisa, acomodó un tronco, tomó el hacha y asestó el primer golpe. Entonces, rechazado por el impulso de su propio hachazo, Pedro levantó vuelo. Prendido todavía del hacha, quedó un instante en suspensión levitando allá, a la altura de los techos; y luego bajó lentamente, bajó como un tenue vilano de cardo. Acudió su mujer cuando Pedro ya había descendido y, con una palidez de muerte, temblaba agarrado a un rollizo tronco. -¡Hebe! ¡Casi me caigo al cielo! -Tonterías. No puedes caerte al cielo. Nadie se cae al cielo. ¿Qué te ha pasado? Pedro explicó la cosa a su mujer y ésta, sin asombro, le convino: -Te sucede por hacerte el acróbata. Ya te lo he prevenido. El día menos pensado te desnucarás en una de tus piruetas. -¡No, no! -insistió Pedro-. Ahora es diferente. Me resbalé. El cielo es un precipicio, Hebe. Pedro soltó el tronco que lo anclaba pero se asió fuertemente a su mujer. Así abrazados volvieron a la casa. -¡Hombre! -le dijo Hebe, que sentía el cuerpo de su marido pegado al suyo como el de un animal extrañamente joven y salvaje, con ansias de huir-. ¡Hombre, déjate de hacer fuerza, que me arrastras! Das unas zancadas como si quisieras echarte a volar. -¿Has visto, has visto? Algo horrible me está amenazando, Hebe. Un esguince, y ya comienza la ascensión. Esa tarde, Pedro, que estaba apoltronado en el patio leyendo las historietas del periódico, se rió convulsivamente, y con la propulsión de ese motor alegre fue elevándose como un ludión, como un buzo que se quita las suelas. La risa se trocó en terror y Hebe acudió otra vez a las voces de su marido. Alcanzó a agarrarle los pantalones y lo atrajo a la tierra. Ya no había duda. Hebe le llenó los bolsillos con grandes tuercas, caños de plomo y piedras; y estos pesos por el momento dieron a su cuerpo la solidez necesaria para tranquear por la galería y empinarse por la escalera de su cuarto. Lo difícil fue desvestirlo. Cuando Hebe le quitó los hierros y el plomo, Pedro, fluctuante sobre las sábanas, se entrelazó con los barrotes de la cama y le advirtió: -¡Cuidado, Hebe! Vamos a hacerlo despacio porque no quiero dormir en el techo. -Mañana mismo llamaremos al médico. -Si consigo estarme quieto no me ocurrirá nada. Solamente cuando me agito me hago aeronauta. Con mil precauciones pudo acostarse y se sintió seguro. -¿Tienes ganas de subir? -No. Estoy bien. Se dieron las buenas noches y Hebe apagó la luz. Al otro día cuando Hebe despegó los ojos vio a Pedro durmiendo como un bendito, con la cara pegada al techo. Parecía un globo escapado de las manos de un niño. -¡Pedro, Pedro! -gritó aterrorizada. Al fin Pedro despertó, dolorido por el estrujón de varias horas contra el cielo raso. ¡Qué espanto! Trató de saltar al revés, de caer para arriba, de subir para abajo. Pero el techo lo succionaba como succionaba el suelo a Hebe. -Tendrás que atarme de una pierna y amarrarme al ropero hasta que llames al doctor y vea qué pasa. Hebe buscó una cuerda y una escalera, ató un pie a su marido y se puso a tirar con todo el ánimo. El cuerpo adosado al techo se removió como un lento dirigible. Aterrizaba. En eso se coló por la puerta un correntón de aire que ladeó la leve corporeidad de Pedro y, como a una pluma, la sopló por la ventana abierta. Ocurrió en un segundo. Hebe lanzó un grito y la cuerda se le desvaneció, subía por el aire inocente de la mañana, subía en suave contoneo como un globo de color fugitivo en un día de fiesta, perdido para siempre, en viaje al infinito. Se hizo un punto y luego nada. FIN"
