link,text_metadata,text
https://ciudadseva.com/texto/aforismos/,"{'title': 'Aforismos', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","Los enanos tienen una especie de sexto sentido que les permite reconocerse a primera vista.   FIN Lo demás es silencio, 1978  "
https://ciudadseva.com/texto/caballo-imaginando-a-dios/,"{'title': 'Caballo imaginando a Dios', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","“A pesar de lo que digan, la idea de un cielo habitado por Caballos y presidido por un Dios con figura equina repugna al buen gusto y a la lógica más elemental, razonaba los otros días el caballo. Todo el mundo sabe -continuaba en su razonamiento- que si los Caballos fuéramos capaces de imaginar a Dios lo imaginaríamos en forma de Jinete.” FIN La oveja negra y demás fábulas, 1969"
https://ciudadseva.com/texto/como-acercarse-a-las-fabulas/,"{'title': 'Cómo acercarse a las fábulas', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","Con precaución, como a cualquier cosa pequeña. Pero sin miedo. Finalmente se descubrirá que ninguna fábula es dañina, excepto cuando alcanza a verse en ella alguna enseñanza. Esto es malo.   Si no fuera malo, el mundo se regiría por las fábulas de Esopo; pero en tal caso desaparecería todo lo que hace interesante el mundo, como los ricos, los prejuicios raciales, el color de la ropa interior y la guerra; y el mundo sería entonces muy aburrido, porque no habría heridos para las sillas de ruedas, ni pobres a quienes ayudar, ni negros para trabajar en los muelles, ni gente bonita para la revista Vogue. Así, lo mejor es acercarse a las fábulas buscando de qué reír. -Eso es. He ahí un libro de fábulas. Corre a comprarlo. No, mejor te lo regalo: verás, yo nunca me había reído tanto. FIN   La palabra mágica, 1983  "
https://ciudadseva.com/texto/dejar-de-ser-mono/,"{'title': 'Dejar de ser mono', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","EL espíritu de investigación no tiene límites. En los Estados Unidos y en Europa han descubierto a últimas fechas que existe una especie de monos hispanoamericanos capaces de expresarse por escrito, réplicas quizá del mono diligente que a fuerza de teclear una máquina termina por escribir de nuevo, azarosamente, los sonetos de Shakespeare. Tal cosa, como es natural, llena estas buenas gentes de asombro, y no falta quien traduzca nuestros libros, ni, mucho menos, ociosos que los compren, como antes compraban las cabecitas reducidas de los jíbaros. Hace más de cuatro siglos que fray Bartolomé de las Casas pudo convencer a los europeos de que éramos humanos y de que teníamos un alma porque nos reíamos; ahora quieren convencerse de lo mismo porque escribimos. FIN Movimiento perpetuo, 1972"
https://ciudadseva.com/texto/el-burro-y-la-flauta/,"{'title': 'El burro y la flauta', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","Tirada en el campo estaba desde hacía tiempo una Flauta que ya nadie tocaba, hasta que un día un Burro que paseaba por ahí resopló fuerte sobre ella haciéndola producir el sonido más dulce de su vida, es decir, de la vida del Burro y de la Flauta. Incapaces de comprender lo que había pasado, pues la racionalidad no era su fuerte y ambos creían en la racionalidad, se separaron presurosos, avergonzados de lo mejor que el uno y el otro habían hecho durante su triste existencia. FIN"
https://ciudadseva.com/texto/el-camaleon-que-finalmente-no-sabia-de-que-color-ponerse/,"{'title': 'El Camaleón que finalmente no sabía de qué color ponerse', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","En un país muy remoto, en plena Selva, se presentó hace muchos años un tiempo malo en el que el Camaleón, a quien le había dado por la política, entró en un estado de total desconcierto, pues los otros animales, asesorados por la Zorra, se habían enterado de sus artimañas y empezaron a contrarrestarlas llevando día y noche en los bolsillos juegos de diversos vidrios de colores para combatir su ambigüedad e hipocresía, de manera que cuando él estaba morado y por cualquier circunstancia del momento necesitaba volverse, digamos, azul, sacaban rápidamente un cristal rojo a través del cual lo veían, y para ellos continuaba siendo el mismo Camaleón morado, aunque se condujera como Camaleón azul; y cuando estaba rojo y por motivaciones especiales se volvía anaranjado, usaban el cristal correspondiente y lo seguían viendo tal cual. Esto sólo en cuanto a los colores primarios, pues el método se generalizó tanto que con el tiempo no había ya quien no llevara consigo un equipo completo de cristales para aquellos casos en que el mañoso se tornaba simplemente grisáceo, o verdiazul, o de cualquier color más o menos indefinido, para dar el cual eran necesarias tres, cuatro o cinco superposiciones de cristales. Pero lo bueno fue que el Camaleón, considerando que todos eran de su condición, adoptó también el sistema. Entonces era cosa de verlos a todos en las calles sacando y alternando cristales a medida que cambiaban de colores, según el clima político o las opiniones políticas prevalecientes ese día de la semana o a esa hora del día o de la noche. Como es fácil comprender, esto se convirtió en una especie de peligrosa confusión de las lenguas; pero pronto los más listos se dieron cuenta de que aquello sería la ruina general si no se reglamentaba de alguna manera, a menos de que todos estuvieran dispuestos a ser cegados y perdidos definitivamente por los dioses, y restablecieron el orden. Además de lo estatuido por el Reglamento que se redactó con ese fin, el derecho consuetudinario fijó por su parte reglas de refinada urbanidad, según las cuales, si alguno carecía de un vidrio de determinado color urgente para disfrazarse o para descubrir el verdadero color de alguien, podía recurrir inclusive a sus propios enemigos para que se lo prestaran, de acuerdo con su necesidad del momento, como sucedía entre las naciones más civilizadas. Sólo el León que por entonces era el Presidente de la Selva se reía de unos y de otros, aunque a veces socarronamente jugaba también un poco a lo suyo, por divertirse. De esa época viene el dicho de que todo Camaleón es según el color del cristal con que se mira."
https://ciudadseva.com/texto/el-centenario/,"{'title': 'El centenario', 'metadata': '[Cuento - Texto completo.]', 'author': 'Augusto Monterroso'}","-…Lo que me recuerda ­dije yo­ la historia del malogrado sueco Orest Hanson, el hombre más alto del mundo (en sus días. Hoy la marca que impuso se ve abatida con frecuencia). En 1892 realizó una meritoria gira por Europa exhibiendo su estatura de dos metros cuarenta y siete centímetros. Los periodistas, con la imaginación que los distingue, lo llamaban el hombre jirafa. Imaginen. Como la debilidad de sus articulaciones no le permitía hacer casi ningún esfuerzo, para alimentarlo era preciso que algún familiar suyo se encaramara en las ramas de un árbol a ponerle en la boca bolitas especiales de carne molida, y pequeños trozos de azúcar de remolacha, como postre. Otros parientes le ataban las cintas de los zapatos. Otro más vivía siempre atento a la hora en que Orest necesitaba recoger del suelo algún objeto que por descuido, o por su peculiar torpeza, se le escapara de las manos. Orest atisbaba las nubes y se dejaba servir. En verdad, su reino no era de este mundo, y se podía adivinar en sus ojos tristes y lejanos una persistente nostalgia por las cosas terrenales. En el fondo de su corazón sentía especial envidia por los enanos, y se soñaba siempre tratando, sin éxito, de alcanzar los aldabones de las puertas y echando a correr, como en las tardes de su niñez. Su fragilidad llegaba a extremos increíbles. Mientras iba de paseo por las calles cada paso suyo hacía temer, aun a los transeúntes escandinavos, un aparatoso desplome. Con el tiempo sus padres dieron muestras de ávido pragmatismo (que mereció más de una crítica) al decidir que Orest saliera únicamente los domingos, precedido de su tío carnal, Erick, y seguido de Olaf, sirviente, quien recibía en un sombrero las monedas que las almas sentimentales se creían en la obligación de pagar por aquel espectáculo lleno de gravitante peligro. Su fama creció. Pero es cierto que no hay dicha completa. Poco a poco en el alma infantil de Orest empezó a filtrarse una irresistible afición por aquellas monedas. Finalmente, esta legítima atracción por el metal acuñado vino a determinar su derrumbe y la razón de su extraño fin, que se verá en el lugar oportuno. Barnum lo convirtió en profesional. Pero Orest no sentía el llamado del arte, y el circo sólo le interesó como fuente de dinero. Por otra parte, su espíritu aristocrático no resistía ni el olor de los leones ni que la gente le tuviera lástima. Dijo adiós a Barnum. A la edad de diecinueve años medía dos metros cuarenta y cinco. Después vino un receso tranquilizador, y sólo a los veinticinco descubrió su estatura normal de dos cuarenta y siete, que ya no lo abandonó hasta la hora de la muerte. El descubrimiento se produjo así. Invitado a visitar Londres por un gracioso capricho de Sus Majestades Británicas, se dirigió al consulado de Inglaterra en Estocolmo para obtener la visa. El cónsul inglés, como tal, lo recibió sin mayores muestras de asombro, y aun se atrevió a preguntarle por sus señas particulares, y a dudar de que midiera dos metros cuarenta y cinco a la hora de hacer la filiación. Cuando el cartabón reveló que eran dos cuarenta y siete, el cónsul hizo el tranquilo gesto que significa “Ya lo decía yo”. Orest no dijo nada. Se acercó en silencio a la ventana y desde allí, resentido, contempló durante largos minutos el mar agitado y el cielo azul en calma. En adelante la curiosidad de los reyes europeos elevó sus ingresos. En poco tiempo llegó a ser uno de los gigantes más ricos del Continente, y su fama se extendió incluso entre los patagones, los yaquis y los etíopes. En aquella revista que Rubén Darío dirigía en París pueden verse dos o tres fotografías de Orest, sonriente al lado de las más encumbradas personalidades de entonces; documentos gráficos que el alto poeta publicó en el décimo aniversario de su muerte, a manera de homenaje tan merecido como póstumo. De pronto su nombre descendió de los periódicos. Pero a pesar de todas las maniobras que se han fraguado para mantener en secreto las causas que concurrieron a su inesperado ocaso, hoy se sabe que murió trágicamente en México durante las Fiestas del Centenario, a las que asistió invitado de manera oficial. Las causas fueron veinticinco fracturas que sufrió por agacharse a recoger una moneda de oro (precisamente un “centenario”‘) que en medio de su rastrero entusiasmo patriótico le arrojó el chihuahueño y oscuro Silvestre Martín, esbirro de don Porfirio Díaz."
https://ciudadseva.com/texto/el-conejo-y-el-leon/,"{'title': 'El Conejo y el León', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","Un celebre Psicoanalista se encontró cierto día en medio de la Selva, semiperdido. Con la fuerza que dan el instinto y el afán de investigación logró fácilmente subirse a un altísimo árbol, desde el cual pudo observar a su antojo no solo la lenta puesta del sol sino además la vida y costumbres de algunos animales, que comparó una y otra vez con las de los humanos. Al caer la tarde vio aparecer, por un lado, al Conejo; por otro, al León. En un principio no sucedió nada digno de mencionarse, pero poco después ambos animales sintieron sus respectivas presencias y, cuando toparon el uno con el otro, cada cual reaccionó como lo había venido haciendo desde que el hombre era hombre. El León estremeció la Selva con sus rugidos, sacudió la melena majestuosamente como era su costumbre y hendió el aire con sus garras enormes; por su parte, el Conejo respiró con mayor celeridad, vio un instante a los ojos del León, dio media vuelta y se alejó corriendo. De regreso a la ciudad el celebre Psicoanalista publicó cum laude su famoso tratado en que demuestra que el León es el animal más infantil y cobarde de la Selva, y el Conejo el más valiente y maduro: el León ruge y hace gestos y amenaza al universo movido por el miedo; el Conejo advierte esto, conoce su propia fuerza, y se retira antes de perder la paciencia y acabar con aquel ser extravagante y fuera de sí, al que comprende y que después de todo no le ha hecho nada. FIN"
https://ciudadseva.com/texto/el-dinosaurio/,"{'title': 'El dinosaurio', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Augusto Monterroso'}","Cuando despertó, el dinosaurio todavía estaba allí. FIN"
https://ciudadseva.com/texto/el-eclipse/,"{'title': 'El eclipse', 'metadata': '[Cuento - Texto completo.]', 'author': 'Augusto Monterroso'}","Cuando fray Bartolomé Arrazola se sintió perdido aceptó que ya nada podría salvarlo. La selva poderosa de Guatemala lo había apresado, implacable y definitiva. Ante su ignorancia topográfica se sentó con tranquilidad a esperar la muerte. Quiso morir allí, sin ninguna esperanza, aislado, con el pensamiento fijo en la España distante, particularmente en el convento de los Abrojos, donde Carlos Quinto condescendiera una vez a bajar de su eminencia para decirle que confiaba en el celo religioso de su labor redentora. Al despertar se encontró rodeado por un grupo de indígenas de rostro impasible que se disponían a sacrificarlo ante un altar, un altar que a Bartolomé le pareció como el lecho en que descansaría, al fin, de sus temores, de su destino, de sí mismo. Tres años en el país le habían conferido un mediano dominio de las lenguas nativas. Intentó algo. Dijo algunas palabras que fueron comprendidas. Entonces floreció en él una idea que tuvo por digna de su talento y de su cultura universal y de su arduo conocimiento de Aristóteles. Recordó que para ese día se esperaba un eclipse total de sol. Y dispuso, en lo más íntimo, valerse de aquel conocimiento para engañar a sus opresores y salvar la vida. -Si me matáis -les dijo- puedo hacer que el sol se oscurezca en su altura. Los indígenas lo miraron fijamente y Bartolomé sorprendió la incredulidad en sus ojos. Vio que se produjo un pequeño consejo, y esperó confiado, no sin cierto desdén. Dos horas después el corazón de fray Bartolomé Arrazola chorreaba su sangre vehemente sobre la piedra de los sacrificios (brillante bajo la opaca luz de un sol eclipsado), mientras uno de los indígenas recitaba sin ninguna inflexión de voz, sin prisa, una por una, las infinitas fechas en que se producirían eclipses solares y lunares, que los astrónomos de la comunidad maya habían previsto y anotado en sus códices sin la valiosa ayuda de Aristóteles. FIN"
