link,text_metadata,text
https://ciudadseva.com/texto/algo-peor/,"{'title': 'Algo peor', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","—¡Que tiempos, señores! Los niños se divierten en matar y en robar. Los crímenes son sus juguetes. —¡Y algo peor! —dijo el otro. —¿Cómo peor? —Si, que ya no cantan canciones, sino que cantan anuncios comerciales de la radio. FIN El Cuento, 1984"
https://ciudadseva.com/texto/campeona/,"{'title': 'Campeona', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","Cuando el presidente del Club de Natación y los Síndicos de París —chisteras, abultados abdómenes, bandas tricolores sobre el pecho— vieron acercarse a la triunfadora, prorrumpieron en aplausos y entusiastas exclamaciones: —¡Si parece un delfín! —Querrá usted decir una sirena. —No, una náyade. —¡Una oceánida, una “oceánida ojiverde”, como dijo el poeta! La triunfadora, francesita comestible que hablaba con dejo italiano para más silbar las sibilantes y mejor suspenderse en un pie sobre las dobles consonantes, comenzó a coquetear: —Non, mais vous m’accablez! Mon Dieu, que je suis confuse! Et une naiade, encore! C’est pas de ma faute, vous savez? Si j’avais sû…! Y todo aquello de: —Toque usted; sí, señor. No hay nada postizo. Eso también me lo dio mi madre con lo demás que traje al mundo, etcétera. —Vamos a ver, señorita —interrumpió, profesional, el señor presidente, poniendo fin a esos desvaríos con una tosecilla muy al caso—. ¡Ejem! ¡Ejem! Para llenar este diploma hacen falta algunos datos. Decline usted sus generales. —¿Aquí, en público? Risas. El presidente, protector: —Su nombre, su edad… ¿En qué trabaja usted, cuál es su oficio? —Mi oficio es muy modesto, señores. Porque, sin agraviar a nadie, yo, como decimos los del pueblo, soy puta. Pánico. Silencio seguido de rumores. —¿Ha dicho usted…? —Puta. ¡………………………………………………….! Dominando la estupefacción general, monsieur Machin, siempre analítico, interroga: —Pero, entonces, delfín o sirena, náyade, oceánida o demonio… sin faldas, ¿quiere usted decirnos cómo, cuándo, dónde adquirió usted esa agilidad y esa gracia en el nadar, esa perfección deportiva, ese dominio extraordinario del… de la… de los… de las… Y la oceánida, cándidamente, le ataja: —C’est que… vous savez? Avant de venir ici je faisais le trottoir à Venise. FIN"
https://ciudadseva.com/texto/catastrofes/,"{'title': 'Catástrofes', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","¿Qué me pasa? Ya he hablado de cierta catástrofe cósmica que nos amenaza desde el fondo del universo (“La Catástrofe”, Ancorajes, fragmento de 1937). Pues sucede que alguna distante e ignorada catástrofe repercute en este cofrecito vibratorio del corazón. Muchas veces no sabemos qué rara inquietud nos traviesa de parte a parte, como un dolor inesperado o un malestar que llega a ser físico y corpóreo. A lo mejor es que ha reventado un cometa, que ha estallado una nebulosa, que un viento de energías etéreas se ha desatado a varios millones de años-luz, y ahora está llegando a nuestra casa, como esas nubes radiantes que no visitan. No puede extinguirse una estrella sin que lo paguemos, aún sin merecerlo. Vivimos y morimos asaetados de oscuras flechas. Hay unos arqueros en las sombras que nos tienen sitiados. FIN El Cuento, 1966"
https://ciudadseva.com/texto/de-kelserling/,"{'title': 'De Kelserling', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","—Conocí a un hombre que recibía noticias del cielo. Un día me comunicó las últimas novedades que se contaban en el cielo. ¿Saben ustedes cuales eran? Que puede ser que Lucifer se redima con un acto de arrepentimiento; que Lucifer puede redimirse, pero no sus criaturas. FIN El Cuento, 1968"
https://ciudadseva.com/texto/del-bestiario-mexicano/,"{'title': 'Del bestiario mexicano', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","I En el norte de México acostumbran poner a los gallos en lo alto de un templete, para que no se los coman los coyotes. Desde su mirador, el gallo va y viene, y mira de reojo al coyote que se va acercando con un airecillo bondadoso: —Buenos días, hermano gallo. —Buenos días, hermano coyote. —¿Qué haces ahí trepado? —Ya lo ves, tomando el sol. —¿Por qué no bajas un rato a “platicar” conmigo? —No me atrevo, ¡no vaya a pasarme “alguna cosa”! —¿Qué puede sucederte? Si desconfías de mí, acuérdate de que ya el león, el rey de la selva, acaba de dictar una ley ordenando que ningún animal le haga daño a otro. ¡Anda, baja, no tengas miedo! —No me atrevo… —¡Pero si la nueva ley te ampara! —No creas, hermano: hay cabrones que ni la ley respetan. II -¿Adónde con tanta prisa, hermano chango? ¿Por qué corres así? -Voy a esconderme, hermano tejón. -¿Por qué? -El rey de la selva acaba de ordenar que maten a todos los elefantes. -Sí, ¡pero tú eres mono y no elefante! -Cierto, pero mientras lo averiguan, me chingan. (Y siguió corriendo.) FIN"
https://ciudadseva.com/texto/del-hilo-al-ovillo/,"{'title': 'Del hilo, al ovillo', 'metadata': '[Cuento - Texto completo.]', 'author': 'Alfonso Reyes'}","Tenía razones para dudar. Volvió a casa inesperadamente. La casa estaba desierta. En el vestíbulo, una madeja de lana, abandonada, yacía en el suelo; era la lana con que su mujer estaba tejiendo no sé qué, por matar el tiempo… o por tener pretexto de andar siempre con los ojos bajos. Bien lo comprendía él. —Todo está muy claro —se dijo—. En la lucha, o lo que sea, la labor ha caído al suelo. Pero la madeja se desenrollaba hacia el pasillo en un infinito hilo de lana azul. —Sigamos el hilo —pensó—. Por el hilo se saca el ovillo. Y, saltándole el corazón, empuñó el revólver. El hilo azul corría por el pasillo, entraba en el comedor, salía después por la otra puerta… Y él lo seguía de puntillas, anhelante, guiado en aquel laberinto de dudas y pasiones por el hilo azul. En su conciencia había una sombra impenetrable, cortada por un hilo azul infinito. El hilo seguía su camino misterioso. En el otro extremo del hilo —pensaba él— está la ignominia. ¿Tal vez el crimen? Y tenía miedo de sí mismo. El hilo atravesaba un salón y, ya agitado por evidentes palpitaciones, se escurría por debajo de la puerta del fondo. Y vaciló ante aquella puerta: ¿sería mejor desandar el camino y llevarse a la calle, como robado y a hurto, el secreto de su felicidad? ¿Sería mejor ignorarlo todo? El hilo, fiel, le ofrecía el camino de la fuga. Al fin, haciendo un esfuerzo de serenidad, seguro de que el revólver no se dispararía solo en su mano crispada, abrió la puerta… Hecho una bailarina rusa, en un verdadero océano de lana azul, sobre el tapiz de la alcoba, luchando con manos y patas, el gato —un precioso gato blanco, verdadera nube de candor— se revolcaba, gozoso. Junto al gato, en el sillón habitual, sin una sonrisa, inmóvil, ella —siempre enigmática— lo contemplaba sin verlo. FIN Calendario, 1923"
https://ciudadseva.com/texto/del-perfecto-gobernante/,"{'title': 'Del perfecto gobernante', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","Ya se entiende que el perfecto gobernante no era perfecto; estaba lleno de pequeños errores para que sus enemigos tuvieran dónde morder. De este modo, todos vivían contentos. El pueblo tampoco era perfecto: lleno estaba de extraños impulsos de rencor. Cada año, el gobernante entregaba a la cólera popular una víctima propiciatoria por todos los errores del año. Había dos ministros: uno de la guerra otro de la paz. El ministro de la guerra era muy prudente y metódico, porque en esto de declarar la guerra hay que irse con pies de plomo, y en esto de administrarla, con manos de araña. El ministro de la paz era muy impetuoso y bárbaro, a fin de dar a los pueblos ese equivalente moral de la guerra, sin el cual, durante la paz, los pueblos desfallecen. El gobernante procuraba que todas las ruedas de su gobierno giraran sin cesar, porque el uso gasta menos que el abandono. De tiempo en tiempo, al pasar por las alcantarillas, dejaba caer algunas monedas, que luego distribuía entre los que habían bajado a buscarlas. Un día advirtió el gobernante que los funcionarios no cumplían con eficacia sus cargos: el servicio público era para ellos cosa impuesta, ajena. Entonces dejó que los funcionarios se organizaran en juntas secretas y sociedades carbonarias, con el fin de mandarse solos. Desde aquel día, el servicio público tuvo para los servidores del Estado todo el atractivo de un complot. Ellos encontraron en el desempeño de sus deberes los deleites de los Siete Pecados, —y el pueblo prosperaba, dichoso. FIN Calendario, 1923"
https://ciudadseva.com/texto/diogenes/,"{'title': 'Diógenes', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","Diógenes, viejo, puso su casa y tuvo un hijo. Lo educaba para cazador. Primero lo hacía ensayarse con animales disecados, dentro de casa. Después comenzó a sacarlo al campo. Y lo reprendía cuando no acertaba. —Ya te he dicho que veas dónde pones los ojos, y no dónde pones las manos. El buen cazador hace presa con la mirada. Y el hijo aprendía poco a poco. A veces volvían a casa cargados, que no podían más; entre el tornasol de las plumas se veían los sanguinolentos hocicos y las flores secas de las patas. Así fueron dando caza a toda la Fábula: al Unicornio de las vírgenes imprudentes, al contagioso Basilisco; al Pelícano disciplinante y a la misma Fénix, duende de los aromas. Pero cierta noche que acampaban, y Diógenes proyectaba al azar la luz de su linterna, su hijo le murmuró al oído: —¡Apaga, apaga tu linterna, padre! ¡Que viene la mejor de las presas, y esta se caza a oscuras! Apaga, que no se ahuyente. ¡Porque ya oigo, ya oigo las pisadas iguales, y hoy sí que hemos dado con el Hombre! FIN Calendario, 1923"
https://ciudadseva.com/texto/duelo/,"{'title': 'Duelo', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","De uno a otro extremo de la Cámara, grita el diputado aristócrata: —¡Dese usted por abofeteado! Y el demócrata, encogiéndose de hombros, le contesta: —¡Dese usted por muerto en duelo! FIN El Cuento, No. 18, Noviembre 1966 Tomo III – Año III"
https://ciudadseva.com/texto/educacion/,"{'title': 'Educación', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","Y en este punto, es fácil que piense de Inglaterra lo que de la educación de su hijo pensaba la viuda de Shelley: —Lo llevaremos —le decía un amigo en cierta ocasión— a una escuela donde le enseñen a conducirse de acuerdo con sus propias ideas. —No, gracias —repuso al instante la viuda—. Así fue educado su padre. Pero yo para mi hijo preferiría una escuela donde lo enseñaran a conducirse de acuerdo con las ideas de los demás. FIN El Cuento, 1968"
https://ciudadseva.com/texto/el-buen-impresor/,"{'title': 'El buen impresor', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","El sino del impresor “amateur” es la desdicha. Tenía que imprimir una Doctrina Cristiana que empezaba con la frase: “Dios hizo el mundo en siete días”; y quería a toda costa emplear en el libro sagrado la mejor capitular que tenía: una hermosa mayúscula de misal, vestida de rojos y oros vivos, con ángeles azules y festones de flores, bandas y columnas simbólicas, pájaros vistosos. Ahora bien, el libro empezaba por “D”, y la mayúscula historiada era una “F”. El impresor se decidió a tocar levemente el original, e imprimió así: “Francamente, Dios hizo el mundo en siete días”. (Y es lástima que no fuera erudito en doctrinas heterodoxas, porque pudo haber puesto, con mayor sentido: “Finalmente, Dios hizo el mundo en siete días FIN Calendario, 1923"
https://ciudadseva.com/texto/el-chivo-padre/,"{'title': 'El chivo padre', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Alfonso Reyes'}","El chivo padre va a beber y, al verse reflejado en el charco: -¡Que presencia de animal! -exclama-. ¡Qué barbas venerables! ¡Qué cornamenta más ornamental! ¡Qué continente tan respetable y grave! ¡Y todavía pretenden que el león es el rey de los animales!… Un gruñido a su espalda y una voz que dice: -¿Qué estás ahí murmurando, hermano chivito? Disimulando su pavor, el chivo replica: -No hagas caso, hermano leoncito: ya sabes que los cabrones somos muy habladores. FIN"
