link,text_metadata,text
https://ciudadseva.com/texto/estuvo-en-la-guerra/,"{'title': 'Estuvo en la guerra', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","De pronto, todas las cabezas desaparecieron. Abrió más los ojos. Trató de perforar con la mirada la luz de los reflectores implacables. Sobre el campo, los jugadores corrían en todas direcciones. Un sordo, pavoroso clamor envolvía sus cuerpos sin cabezas. Agitaban sus brazos confusamente. Como si dirigieran su propia macabra danza. La danza macabra. Él estaba tenso. El ruido martilleaba sus tímpanos. Creció su miedo. Ahora los rostros giraban en la cancha. Reflejaban un terror indescriptible. Su propio terror. No perseguían la pelota. Huían desesperados. Brincaban absurdamente. Con el salto mortal del soldado. Desaparecían. Volvían a emerger. Volaban. Destruidos en pedazos al chocar unos contra otros. Empezó a oír el graznido de las ametralladoras. El ruido del mar. El ruido del miedo. El silbatazo de ataque. Y gritos. Gritos espantosos que le taladraban la espina dorsal. ¿Llegaría a disparar por fin el cañón camuflado bajo la malla del arco? Reaparecieron las cabezas y los cuerpos. Las cabezas subían y bajaban las gradas. Saltaban a la izquierda y a la derecha. Uno, dos. Uno, dos. A la derecha y a la izquierda. Uno, dos. Rodaban unas sobre otras. Saltaban unas sobre otras. Uno, dos. Lo aplastaban. Iban a aplastarlo. Uno, dos. Y los gritos… Se lanzó por las escaleras. A ganar la playa. A esconderse en las trincheras. La salida. A empellones. Empujando los cadáveres móviles que cerraban el paso. La puerta. La plaza. Arriba, siempre el cielo. El cielo. Detuvo el taxi: al hotel. Cerró los ojos. Los abrió de nuevo. ¿Y el chofer? Había desaparecido. Él iba solo sobre el tanque que devoraba las avenidas. Traspasaba los muros. Se estrellaba contra los árboles. Mil reflectores enfocaban su marcha. Más aprisa. Aprisa. Luego, lo de siempre: el silencio largo. “¿Le pasa algo?” Pagó. Entró en el hotel. A su cuarto. Se desplomó sobre la cama. A gemir la paz definitivamente perdida para él. FIN"
https://ciudadseva.com/texto/final/,"{'title': 'Final', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","De pronto, como predestinado por una fuerza invisible, el automóvil respondió a otra intención, enfilado hacia imprevisible destino, sin que mis inútiles esfuerzos lograran desviar la dirección para volver al rumbo que me había propuesto. Caminamos así, en la noche y el misterio, en el horror y la fatalidad, sin que yo pudiera hacer nada para oponerme. El otro ser paró el motor, allí en un sitio desolado. Alguien que no estaba antes, me apuntó desde el asiento posterior con el frío implacable de un arma. Y su voz definitiva, me sentenció. —¡Prepárate al fin de este cuento! FIN"
https://ciudadseva.com/texto/la-busqueda-valades/,"{'title': 'La búsqueda', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}",Esas sirenas enloquecidas que aúllan recorriendo la ciudad en busca de Ulises. FIN
https://ciudadseva.com/texto/la-incredula/,"{'title': 'La incrédula', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","Sin mi mujer a mi costado y con la excitación de deseos acuciosos y perentorios, arribé a un sueño obseso. En él se me apareció una, dispuesta a la complacencia. Estaba tan pródigo, que me pasé en su compañía de la hora nona a la hora sexta, cuando el canto del gallo. Abrí luego los ojos y ella misma, a mi diestra, con sonrisa benévola, me incitó a que la tomara. Le expliqué, con sorprendida y agotada excusa, que ya lo había hecho. -Lo sé –respondió-, pero quiero estar cierta. Yo no hice caso a su reclamo y volví a dormirme, profundamente, para no caer en una tentación irregular y quizás ya innecesaria. FIN"
https://ciudadseva.com/texto/la-marioneta/,"{'title': 'La marioneta', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","El marionetista, ebrio, se tambalea mal sostenido por invisibles y precarios hilos. Sus ojos, en agonía alucinada, no atinan la esperanza de un soporte. Empujado o atraído por un caos de círculos y esguinces, trastabilla sobre el desorden de un camerino, eslabona angustias de inestabilidad, oscila hacia el vértigo de una inevitable caída. Y en última y frustrada resistencia, se despeña al fin como muñeco absurdo. La marioneta –un payaso cuyo rostro de madera asoma, tras el guiño sonriente, una nostalgia infinita- ha observado el drama de quien le da transitoria y ajena locomoción. Sus ojos parecen concebir lágrimas concretas, incapaz de ceder al marionetista la trama de los hilos con los cuales él adquiere movimiento. FIN"
https://ciudadseva.com/texto/la-muerte-tiene-permiso/,"{'title': 'La muerte tiene permiso', 'metadata': '[Cuento - Texto completo.]', 'author': 'Edmundo Valadés'}","Sobre el estrado, los ingenieros conversan, ríen. Se golpean unos a otros con bromas incisivas. Sueltan chistes gruesos cuyo clímax es siempre áspero. Poco a poco su atención se concentra en el auditorio. Dejan de recordar la última juerga, las intimidades de la muchacha que debutó en la casa de recreo a la que son asiduos. El tema de su charla son ahora esos hombres, ejidatarios congregados en una asamblea y que están ahí abajo, frente a ellos. -Sí, debemos redimirlos. Hay que incorporarlos a nuestra civilización, limpiándolos por fuera y enseñándolos a ser sucios por dentro… -Es usted un escéptico, ingeniero. Además, pone usted en tela de juicio nuestros esfuerzos, los de la Revolución. -¡Bah! Todo es inútil. Estos jijos son irredimibles. Están podridos en alcohol, en ignorancia. De nada ha servido repartirles tierras. -Usted es un superficial, un derrotista, compañero. Nosotros tenemos la culpa. Les hemos dado las tierras, ¿y qué? Estamos ya muy satisfechos. Y el crédito, los abonos, una nueva técnica agrícola, maquinaria, ¿van a inventar ellos todo eso? El presidente, mientras se atusa los enhiestos bigotes, acariciada asta por la que iza sus dedos con fruición, observa tras sus gafas, inmune al floreteo de los ingenieros. Cuando el olor animal, terrestre, picante, de quienes se acomodan en las bancas, cosquillea su olfato, saca un paliacate y se suena las narices ruidosamente. Él también fue hombre del campo. Pero hace ya mucho tiempo. Ahora, de aquello, la ciudad y su posición solo le han dejado el pañuelo y la rugosidad de sus manos. Los de abajo se sientan con solemnidad, con el recogimiento del hombre campesino que penetra en un recinto cerrado: la asamblea o el templo. Hablan parcamente y las palabras que cambian dicen de cosechas, de lluvias, de animales, de créditos. Muchos llevan sus itacates al hombro, cartucheras para combatir el hambre. Algunos fuman, sosegadamente, sin prisa, con los cigarrillos como si les hubieran crecido en la propia mano. Otros, de pie, recargados en los muros laterales, con los brazos cruzados sobre el pecho, hacen una tranquila guardia. El presidente agita la campanilla y su retintín diluye los murmullos. Primero empiezan los ingenieros. Hablan de los problemas agrarios, de la necesidad de incrementar la producción, de mejorar los cultivos. Prometen ayuda a los ejidatarios, los estimulan a plantear sus necesidades. -Queremos ayudarlos, pueden confiar en nosotros. Ahora, el turno es para los de abajo. El presidente los invita a exponer sus asuntos. Una mano se alza, tímida. Otras la siguen. Van hablando de sus cosas: el agua, el cacique, el crédito, la escuela. Unos son directos, precisos; otros se enredan, no atinan a expresarse. Se rascan la cabeza y vuelven el rostro a buscar lo que iban a decir, como si la idea se les hubiera escondido en algún rincón, en los ojos de un compañero o arriba, donde cuelga un candil. Allí, en un grupo, hay cuchicheos. Son todos del mismo pueblo. Les preocupa algo grave. Se consultan unos a otros: consideran quién es el que debe tomar la palabra. -Yo crioque Jilipe: sabe mucho… -Ora, tú, Juan, tú hablaste aquella vez… No hay unanimidad. Los aludidos esperan ser empujados. Un viejo, quizá el patriarca, decide: -Pos que le toque a Sacramento… Sacramento espera. -Ándale, levanta la mano… La mano se alza, pero no la ve el presidente. Otras son más visibles y ganan el turno. Sacramento escudriña al viejo. Uno, muy joven, levanta la suya, bien alta. Sobre el bosque de hirsutas cabezas pueden verse los cinco dedos morenos, terrosos. La mano es descubierta por el presidente. La palabra está concedida. -Órale, párate. La mano baja cuando Sacramento se pone en pie. Trata de hallarle sitio al sombrero. El sombrero se transforma en un ancho estorbo, crece, no cabe en ningún lado. Sacramento se queda con él en las manos. En la mesa hay señales de impaciencia. La voz del presidente salta, autoritaria, conminativa: -A ver ese que pidió la palabra, lo estamos esperando. Sacramento prende sus ojos en el ingeniero que se halla a un extremo de la mesa. Parece que solo va a dirigirse a él; que los demás han desaparecido y han quedado únicamente ellos dos en la sala. -Quiero hablar por los de San Juan de las Manzanas. Traímos una queja contra el Presidente Municipal, que nos hace mucha guerra y ya no lo aguantamos. Primero les quitó sus tierritas a Felipe Pérez y a Juan Hernández, porque colindaban con las suyas. Telegrafiamos a México y ni nos contestaron. Hablamos los de la congregación y pensamos que era bueno ir al Agrario, pa la restitución. Pos de nada valieron las vueltas ni los papeles, que las tierritas se le quedaron al Presidente Municipal. Sacramento habla sin que se alteren sus facciones. Pudiera creerse que reza una vieja oración, de la que sabe muy bien el principio y el fin. -Pos nada, que como nos vio con rencor, nos acusó quesque por revoltosos. Que parecía que nosotros le habíamos quitado sus tierras. Se nos vino entonces con eso de las cuentas; lo de los préstamos, siñor, que dizque andábamos atrasados. Y el agente era de su mal parecer, que teníamos que pagar hartos intereses. Crescencio, el que vive por la loma, por ai donde está el aguaje y que le intelige a eso de los números, pos hizo las cuentas y no era verdá: nos querían cobrar de más. Pero el Presidente Municipal trajo unos señores de México, que con muchos poderes y que si no pagábamos nos quitaban las tierras. Pos como quien dice, nos cobró a la fuerza lo que no debíamos… Sacramento habla sin énfasis, sin pausas premeditadas. Es como si estuviera arando la tierra. Sus palabras caen como granos, al sembrar. -Pos luego lo de m’ijo, siñor. Se encorajinó el muchacho. Si viera usté que a mí me dio mala idea. Yo lo quise detener. Había tomado y se le enturbió la cabeza. De nada me valió mi respeto. Se fue a buscar al Presidente Municipal, pa reclamarle… Lo mataron a la mala, que dizque se andaba robando una vaca del Presidente Municipal. Me lo devolvieron difunto, con la cara destrozada… La nuez de la garganta de Sacramento ha temblado. Soo eso. Él continúa de pie, como un árbol que ha afianzado sus raíces. Nada más. Todavía clava su mirada en el ingeniero, el mismo que se halla al extremo de la mesa. -Luego, lo del agua. Como hay poca, porque hubo malas lluvias, el Presidente Municipal cerró el canal. Y como se iban a secar las milpas y la congregación iba a pasar mal año, fuimos a buscarlo; que nos diera tantita agua, siñor, pa nuestras siembras. Y nos atendió con malas razones, que por nada se amuina con nosotros. No se bajó de su mula, pa perjudicarnos… Una mano jala el brazo de Sacramento. Uno de sus compañeros le indica algo. La voz de Sacramento es lo único que resuena en el recinto. -Si todo esto fuera poco, que lo del agua, gracias a la Virgencita, hubo más lluvias y medio salvamos las cosechas, está lo del sábado. Salió el Presidente Municipal con los suyos, que son gente mala y nos robaron dos muchachas: a Lupita, la que se iba a casar con Herminio, y a la hija de Crescencio. Como nos tomaron desprevenidos, que andábamos en la faena, no pudimos evitarlo. Se las llevaron a fuerza al monte y ai las dejaron tiradas. Cuando regresaron las muchachas, en muy malas condiciones, porque hasta de golpes les dieron, ni siquiera tuvimos que preguntar nada. Y se alborotó la gente de a deveras, que ya nos cansamos de estar a merced de tan mala autoridad. Por primera vez, la voz de Sacramento vibró. En ella latió una amenaza, un odio, una decisión ominosa. -Y como nadie nos hace caso, que a todas las autoridades hemos visto y pos no sabemos dónde andará la justicia, queremos tomar aquí providencias. A ustedes -y Sacramento recorrió ahora a cada ingeniero con la mirada y la detuvo ante quien presidía-, que nos prometen ayudarnos, les pedimos su gracia para castigar al Presidente Municipal de San Juan de las Manzanas. Solicitamos su venia para hacernos justicia por nuestra propia mano… Todos los ojos auscultan a los que están en el estrado. El presidente y los ingenieros, mudos, se miran entre sí. Discuten al fin. -Es absurdo, no podemos sancionar esta inconcebible petición. -No, compañero, no es absurda. Absurdo sería dejar este asunto en manos de quienes no han hecho nada, de quienes han desoído esas voces. Sería cobardía esperar a que nuestra justicia hiciera justicia, ellos ya no creerán nunca más en nosotros. Prefiero solidarizarme con estos hombres, con su justicia primitiva, pero justicia al fin; asumir con ellos la responsabilidad que me toque. Por mí, no nos queda sino concederles lo que piden. -Pero somos civilizados, tenemos instituciones; no podemos hacerlas a un lado. -Sería justificar la barbarie, los actos fuera de la ley. -¿Y qué peores actos fuera de la ley que los que ellos denuncian? Si a nosotros nos hubieran ofendido como los han ofendido a ellos; si a nosotros nos hubieran causado menos daños que los que les han hecho padecer, ya hubiéramos matado, ya hubiéramos olvidado una justicia que no interviene. Yo exijo que se someta a votación la propuesta. -Yo pienso como usted, compañero. -Pero estos tipos son muy ladinos, habría que averiguar la verdad. Además, no tenemos autoridad para conceder una petición como esta. Ahora interviene el presidente. Surge en él el hombre del campo. Su voz es inapelable. -Será la asamblea la que decida. Yo asumo la responsabilidad. Se dirige al auditorio. Su voz es una voz campesina, la misma voz que debe haber hablado allá en el monte, confundida con la tierra, con los suyos. Se pone a votación la proposición de los compañeros de San Juan de las Manzanas. Los que estén de acuerdo en que se les dé permiso para matar al Presidente Municipal, que levanten la mano… Todos los brazos se tienden a lo alto. También las de los ingenieros. No hay una sola mano que no esté arriba, categóricamente aprobando. Cada dedo señala la muerte inmediata, directa. -La asamblea da permiso a los de San Juan de las Manzanas para lo que solicitan. Sacramento, que ha permanecido en pie, con calma, termina de hablar. No hay alegría ni dolor en lo que dice. Su expresión es sencilla, simple. -Pos muchas gracias por el permiso, porque, como nadie nos hacía caso, desde ayer el Presidente Municipal de San Juan de las Manzanas está difunto. FIN 1955"
https://ciudadseva.com/texto/memoria/,"{'title': 'Memoria', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","Cuando alguien muere, sus recuerdos y experiencias son concentrados en una colosal computadora, instalada en un planeta invisible. Allí queda la historia íntima de cada ser humano, para propósitos que no se pueden revelar. Enfermo de curiosidad, el diablo ronda alrededor de ese planeta. FIN"
https://ciudadseva.com/texto/pobreza/,"{'title': 'Pobreza', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","Los senos de aquella mujer, que sobrepasaban pródigamente a los de una Jane Mansfield, le hacían pensar en la pobreza de tener únicamente dos manos. FIN"
https://ciudadseva.com/texto/por-que/,"{'title': '¿Por qué?', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","En el sueño, fascinado por la pesadilla, me vi alzando el puñal sobre el objeto de mi crimen. Un instante, el único instante que podría cambiar mi designio y con él mi destino y el de otro ser, mi libertad y su muerte, su vida o mi esclavitud, la pesadilla se frustró y estuve despierto. Al verme alzando el puñal sobre el objeto de mi crimen, comprendí que no era un sueño volver a decidir entre su vida o mi libertad, entre su muerte o mi esclavitud. Cerré los ojos y asesté el golpe. ¿Soy preso por mi crimen o víctima de un sueño? FIN"
https://ciudadseva.com/texto/sueno-valades/,"{'title': 'Sueño', 'metadata': '[Minicuento - Texto completo.]', 'author': 'Edmundo Valadés'}","Sentada ante mí con las piernas entreabiertas, columbro la vía para cumplir mi sueño de cosmonauta: arribar a Venus. FIN"
